,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,2:Hrs,"Darryl M. of Dove.org called the film ""enjoyable, if slightly corny"".[1]",Darren Newton,Roland Moore,"Andromeda Godfrey, Diana Juhr-De Benedetti, Darren Newton","Harry Jarvis, Ella-Rae Smith, Alhaji Fofana",Sara Deane,Jim Page,30 July 2018,United Kingdom,English
1,2.0,"2.0 is a 2018 Indian Tamil-language science-fantasy action film[3][28] directed by Shankar who co-wrote the film with B. Jeyamohan and Madhan Karky. Produced by Subaskaran under the banner of Lyca Productions. As the second instalment in the Enthiran film series, 2.0 is a sequel to Enthiran (2010), featuring Rajinikanth in a triple role as Vaseegaran, Chitti the Robot and Kutti, alongside Akshay Kumar as Pakshi Rajan (in his Tamil debut) and Amy Jackson. Sudhanshu Pandey, Adil Hussain, Kalabhavan Shajohn, and K. Ganesh appear in supporting roles. The soundtrack is composed by A. R. Rahman, with lyrics written by Madhan Karky and Na. Muthukumar. The film follows the conflict between Chitti, the once dismantled humanoid robot, and Pakshi Rajan, a vengeful avian human, who seeks vengeance upon cell phone users to prevent the death of birds due to cellphone radiation.",Shankar,,Allirajah Subaskaran,"Rajinikanth, Akshay Kumar, Amy Jackson",Nirav Shah,Anthony,29 November 20182,India,Tamil
2,2nd Half,"2nd Half is a 2018 Indian Kannada-language crime-thriller film directed by debutant Yogi Devegange. It stars Priyanka Upendra, Surabhi Santosh and Niranjan Sudhindra in the lead. The music direction is by Chetan Sosca.",Yogi Devegange,,Nagesh,"Priyanka Upendra, Surabhi Santosh, Niranjan Sudhindra",R K Shivakumar,,1 June 2018,India,Kannada
3,3 Bahadur: Rise of the Warriors,"3 Bahadur: Rise of the Warriors (Urdu: 3 بہادر: جنگجوؤں کا عروج) is a Pakistani animated action film directed by Sharmeen Obaid-Chinoy and written by Kamran Khan. It is the third and the final installment in the 3 Bahadur trilogy animated film series and the sequel to 3 Bahadur: The Revenge of Baba Balaam (2016).[2] The film stars the voices by Mehwish Hayat, Fahad Mustafa, Sarwat Gillani, Nimra Bucha and Behroze Sabzwari. It released nationwide on 14 December 2018 by ARY Films.",Sharmeen Obaid-Chinoy,Kamran Khan,,"Mehwish Hayat, Fahad Mustafa, Sarwat Gillani, Nimra Bucha, Behroze Sabzwari",,,14 December 2018(PK),Pakistan,Urdu
4,3 Days in Quiberon,"3 Days in Quiberon (German: 3 Tage in Quiberon) is a 2018 drama film written and directed by Emily Atef, based on an idea by Denis Poncet. It is an international co-production between Germany, Austria, and France. It stars Marie Bäumer as famous actress Romy Schneider, with Birgit Minichmayr, Charly Hübner, Robert Gwisdek, and Denis Lavant in supporting roles. It focuses on three days during the last year of Schneider's life.[1]",Emily Atef,Emily Atef,Karsten Stöter,"Marie Bäumer, Birgit Minichmayr, Charly Hübner, Robert Gwisdek, Denis Lavant",Thomas W. Kiennast,Hansjörg Weißbrich,19 February 2018(Berlinale),"Germany, Austria, France","German, French, English"
5,3 Faces,"3 Faces (Persian: Se rokh – سه رخ, French: Trois visages) is a 2018 Iranian drama film directed by Jafar Panahi and starring Behnaz Jafari and Panahi as themselves. The film was produced despite a ban on filmmaking imposed on Panahi. It was selected to compete for the Palme d'Or at the 2018 Cannes Film Festival, winning the award for Best Screenplay.",Jafar Panahi,"Jafar Panahi, Nader Saeivar",,"Behnaz Jafari, Jafar Panahi, Marziyeh Rezaei, Maedeh Erteghaei",Amin Jafari,"Mastaneh Mohajer, Panah Panahi",12 May 2018(Cannes),Iran,"Persian, Azerbaijani"
6,3 Gante 30 Dina 30 Second,"3 Gante 30 Dina 30 seconds (transl. 3 hours 30 days 30 seconds) is a Kannada-language romance film written and directed by G K Madhusudhan and produced by Chandrashekar R Padmashali under the banner Brain Share Creations Pvt Ltd. The film stars newcomers Arun Gowda & Kavya Shetty in lead roles along with Devaraj, Sudharani, Cudavalli Chandrashekar, Ramesh Bhat, Anantavelu, T.S.Nagabharana and Gururaj Hosakote. It was released on 19 January 2018 across Karnataka.[1]",Madhusudan G K,Madhusudan G K,Chandrashekar R Padmashali,"Arun Gowda, Kavya Shetty",Srinivas Ramaiah,Sri Crazy Mindz,19 January 2018,India,Kannada
7,3 Storeys,"3 Storeys is a 2018 Hindi-language thriller drama film directed by Arjun Mukherjee starring Renuka Shahane, Sharman Joshi, Pulkit Samrat, Masumeh, Richa Chadda, Sonal Jha, Aisha Ahmed, Ankit Rathi and produced by Priya Sreedharan, Ritesh Sidhwani and Farhan Akhtar.[1][2] The film was released on 9 March 2018.[3][4]",Arjun Mukherjee,Althea Delmas Kaushal,"Ritesh Sidhwani, Farhan Akhtar, Priya Sreedharan","Renuka Shahane, Sharman Joshi, Pulkit Samrat, Masumeh, Richa Chadda, Sonal Jha, Aisha Ahmed, Ankit Rathi",William Humphris,Arindam Ghatak,9 March 2018,India,Hindi
8,4 Idiots,"4 Idiots (stylized as 4 idiots) is a 2018 Indian Odia language comedy film  directed by Basanta Sahoo and starring Sabyasachi Mishra, Akash Dasnayak, Kuna Tripathy, Chittaranjan Tripathy, Elina Samantray, Lipsa Mishra and Poonam Mishra.[1] The music is composed by Prem Anand.[2]",Basanta Sahoo,Basanta Sahoo,"Akshay Kumar Parija, Prashant Behera & K Sunil Kumar Yadav","Sabyasachi Mishra, Akash Dasnayak, Kuna Tripathy, Chittaranjan Tripathy, Elina Samantray, Lipsa Mishra, Poonam Mishra",,Rajesh Dash,14 June 2018,India,Odia
9,5 Weddings,"5 Weddings is a 2018 American film set in the United States and India. Directed by Namrata Singh Gujral, the film features Nargis Fakhri, Rajkummar Rao, Bo Derek, Candy Clark, Anneliese Van der Pol and Suvinder Vicy.[2]",Namrata Singh Gujral,,Namrata Singh Gujral,"Nargis Fakhri, Rajkummar Rao, Bo Derek, Candy Clark, Anneliese van der Pol","Christo Bakalov, BAC",Steve Mirkovich,10 May 2018(Cannes Film Festival),"United States, India, Canada","Hindi, English"
